dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
rte,8,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8392121394834691,0.8443032933395949,-0.005091153856125796,38
rte,8,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.845,0.8451315789473683,-0.0001315789473683715,38
rte,8,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8445297023496076,0.8443032933395949,0.00022640901001269587,38
rte,8,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.835,0.8451315789473683,-0.01013157894736838,38
rte,8,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8337991992143234,0.8443032933395949,-0.010504094125271424,38
sst2,2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.945,0.95,-0.0050000000000000044,2
sst2,2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.9449876222149983,0.9499932485934364,-0.005005626378438044,2
sst2,2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.955,0.95,0.0050000000000000044,2
sst2,2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.9549988749718743,0.9499932485934364,0.005005626378437933,2
sst2,2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.955,0.95,0.0050000000000000044,2
sst2,2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.9549988749718743,0.9499932485934364,0.005005626378437933,2
sst2,2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.92,0.9275,-0.007499999999999951,2
sst2,2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.919967987194878,0.927483181077126,-0.0075151938822479725,2
sst2,2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.92,0.9275,-0.007499999999999951,2
sst2,2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.919967987194878,0.927483181077126,-0.0075151938822479725,2
sst2,2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.92,0.9275,-0.007499999999999951,2
sst2,2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.919967987194878,0.927483181077126,-0.0075151938822479725,2
sst2,2,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.92,0.92,0.0,2
